,Andover High,Bancroft,Doherty,High Plain & Wood Hill,Sanborn,Shawsheen,South,West Elementary, West Middle,AHS Main (MSWB),AHU1-4 (PBA),LV Plug Loads (DHB),Dunn Gym & Field House (DG),Kitchen & Emergency (DE/ATS),HV Lighting (DL),Chillers (M1),Collins Center (AMDP)
12/31/2015 0:00,7614558,823828,,,,,,,,7614558,,68298,154408,140984,193793,19959,103821
12/31/2015 0:15,7614596,,,,,,,,,7614596,,68300,154422,140996,193799,19959,103826
1/1/2016 0:00,7618091,824575,,,,,,,,7618091,,68709,155474,141986,194415,19959,104301
1/1/2016 0:15,7618127,824581,,,,,,,,7618127,,68714,155486,141994,194421,19959,104306
1/2/2016 0:00,7621483,825244,,,,,,,,7621483,,69103,156451,142919,194979,19959,104869
1/2/2016 0:15,7621522,825250,,,,,,,,7621522,,69105,156464,142931,194985,19959,104876
1/3/2016 0:00,7624987,825890,,,,,,,,7624987,,69410,157532,144026,195540,19960,105370
1/3/2016 0:15,7625026,825897,,,,,,,,7625026,,69412,157545,144038,195546,19960,105377
1/4/2016 0:00,7628761,826545,,,,,,,,7628761,,69605,158631,145062,196106,19960,106300
1/4/2016 0:15,7628799,826553,,,,,,,,7628799,,69607,158644,145075,196111,19960,106306
1/5/2016 0:00,7635835,828751,,,,,,,,7635835,,70181,160485,146724,197760,19960,107570
1/5/2016 0:15,7635885,828760,,,,,,,,7635885,,70184,160497,146736,197767,19960,107587
1/6/2016 0:00,7642872,830970,,,,,,,,7642872,,70745,162254,148396,199372,19960,109028
1/6/2016 0:15,7642923,830978,,,,,,,,7642923,,70747,162266,148409,199379,19960,109045
1/7/2016 0:00,7649891,833132,,,,,,,,7649891,,71331,164069,149958,200993,19960,110459
1/7/2016 0:15,7649933,833140,,,,,,,,7649933,,71333,164084,149970,201000,19960,110466
1/8/2016 0:00,7656632,835223,,,,,,,,7656632,,71968,165836,151513,202624,19961,111591
1/8/2016 0:15,7656671,835230,,,,,,,,7656671,,71970,165850,151525,202631,19961,111596
1/9/2016 0:00,7663231,837270,,,,,,,,7663231,,72512,167627,152897,204162,19961,112909
1/9/2016 0:15,7663268,837276,,,,,,,,7663268,,72514,167638,152903,204168,19961,112921
1/10/2016 0:00,7667670,837946,,,,,,,,7667670,,72703,168615,153616,204750,19961,114915
1/10/2016 0:15,7667705,837954,,,,,,,,7667705,,72705,168626,153623,204757,19961,114925
1/11/2016 0:00,7671162,838591,,,,,,,,7671162,,72902,169752,154269,205330,19962,115878
1/11/2016 0:15,7671193,838598,,,,,,,,7671193,,72904,169766,154277,205336,19962,115880
1/12/2016 0:00,7677309,840720,,,,,,,,7677309,,73469,171503,155781,206913,19962,116581
1/12/2016 0:15,7677352,840727,,,,,,,,7677352,,73471,171517,155793,206919,19962,116589
1/13/2016 0:00,7684132,842832,,,,,,,,7684132,,74062,173339,157363,208493,19962,117793
