Label,Facility,Temperature,CO2
OA,sanborn,3000238,
OA (CO2),west_middle-12,,3002832
Rm-A1,sanborn,3000275,3000834
Rm-A3,sanborn,3000276,3000836
Rm-A4,sanborn,3000277,3000838
Rm-A5,sanborn,3000278,3000840
Rm-A6,sanborn,3000279,3000842
Rm-A7,sanborn,3000280,3000854
Rm-A8,sanborn,3000281,3000855
Rm-B1,sanborn,3000282,3000844
Rm-B2,sanborn,3000283,3000846
Rm-B3,sanborn,3000284,3000848
Rm-B4,sanborn,3000285,3000850
Rm-B5,sanborn,3000286,3000852
Rm-B6,sanborn,3000287,3000853
Rm-C1,sanborn,3000288,3000824
Rm-C2,sanborn,3000289,3000826
Rm-C3,sanborn,3000290,3000822
Rm-C4,sanborn,3000291,3000828
Rm-C5,sanborn,3000292,3000830
Rm-C6,sanborn,3000293,3000832
Portable Call Rm P1,sanborn,3000301,
Portable Call Rm P2,sanborn,3000302,
Café Unit 1,sanborn,3000299,
Café Unit 2,sanborn,3000297,
Kitchen,sanborn,3000328,
Café Space Radiators,sanborn,3000252,
